,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
0,3.0,10.0,0.1,no,0.0,100.0,0.4771529395250729
1,3.0,10.0,0.2,no,0.0,100.0,0.46612519153228554
2,3.0,10.0,0.3,no,0.0,100.0,0.3268786400610479
3,3.0,10.0,0.4,no,0.0,100.0,0.5508060759101594
4,3.0,10.0,0.5,no,0.0,100.0,0.35452024151877026
5,3.0,10.0,0.6,no,0.0,100.0,0.23847439566935258
6,3.0,10.0,0.7,no,0.0,100.0,0.3225327729984062
7,3.0,10.0,0.8,no,0.0,100.0,0.36901647661984943
8,3.0,10.0,0.9,no,0.0,100.0,0.2836834302766932
9,3.0,100.0,0.1,no,0.0,100.0,0.36203646485491897
10,3.0,100.0,0.2,no,0.0,100.0,0.29060732225904284
11,3.0,100.0,0.3,no,0.0,100.0,0.2251810879053076
12,3.0,100.0,0.4,no,0.0,100.0,0.1334490546222883
13,3.0,100.0,0.5,no,0.0,100.0,0.11432080166917274
14,3.0,100.0,0.6,no,0.0,100.0,0.058306226866079156
15,3.0,100.0,0.7,no,0.0,100.0,0.16730099622056663
16,3.0,100.0,0.8,no,0.0,100.0,0.0738693113024301
17,3.0,100.0,0.9,no,0.0,100.0,0.1937435356292746
18,3.0,1000.0,0.1,no,0.0,100.0,0.08529049335290176
19,3.0,1000.0,0.2,no,0.0,100.0,0.11054299473258856
20,3.0,1000.0,0.3,no,0.0,100.0,0.02784562806703951
21,3.0,1000.0,0.4,no,0.0,100.0,0.022431944890976677
22,3.0,1000.0,0.5,no,0.0,100.0,0.028763132556379543
23,3.0,1000.0,0.6,no,0.0,100.0,0.035706507001907584
24,3.0,1000.0,0.7,no,0.0,100.0,0.0486625305001252
25,3.0,1000.0,0.8,no,0.0,100.0,0.03809138982348425
26,3.0,1000.0,0.9,no,0.0,100.0,0.05274786347706088
27,4.0,10.0,0.1,no,0.0,100.0,0.4079185373765563
28,4.0,10.0,0.2,no,0.0,100.0,0.2236250968210587
29,4.0,10.0,0.3,no,0.0,100.0,0.48425288112230513
30,4.0,10.0,0.4,no,0.0,100.0,0.35737749861590334
31,4.0,10.0,0.5,no,0.0,100.0,0.493058250318121
32,4.0,10.0,0.6,no,0.0,100.0,0.3085837550085225
33,4.0,10.0,0.7,no,0.0,100.0,0.2609183525950026
34,4.0,10.0,0.8,no,0.0,100.0,0.23624106580175958
35,4.0,10.0,0.9,no,0.0,100.0,0.38651300369845715
36,4.0,100.0,0.1,no,0.0,100.0,0.4546425589541174
37,4.0,100.0,0.2,no,0.0,100.0,0.16718187595684125
38,4.0,100.0,0.3,no,0.0,100.0,0.17428814148578103
39,4.0,100.0,0.4,no,0.0,100.0,0.24322114511616846
40,4.0,100.0,0.5,no,0.0,100.0,0.08363392459613286
41,4.0,100.0,0.6,no,0.0,100.0,0.12147648948816506
42,4.0,100.0,0.7,no,0.0,100.0,0.14350791857936002
43,4.0,100.0,0.8,no,0.0,100.0,0.09323274234350135
44,4.0,100.0,0.9,no,0.0,100.0,0.11611929857265546
45,4.0,1000.0,0.1,no,0.0,100.0,0.09879567594197611
46,4.0,1000.0,0.2,no,0.0,100.0,0.0629603367917582
47,4.0,1000.0,0.3,no,0.0,100.0,0.04120562740598907
48,4.0,1000.0,0.4,no,0.0,100.0,0.031622120226439586
49,4.0,1000.0,0.5,no,0.0,100.0,0.03804664231604278
50,4.0,1000.0,0.6,no,0.0,100.0,0.03228365099469064
51,4.0,1000.0,0.7,no,0.0,100.0,0.035655539831161605
52,4.0,1000.0,0.8,no,0.0,100.0,0.03571289607792738
53,4.0,1000.0,0.9,no,0.0,100.0,0.026090145488252246
54,5.0,10.0,0.1,no,0.0,100.0,0.40972502848951864
55,5.0,10.0,0.2,no,0.0,100.0,0.39584716798133535
56,5.0,10.0,0.3,no,0.0,100.0,0.4788561122944021
57,5.0,10.0,0.4,no,0.0,100.0,0.43308068031333313
58,5.0,10.0,0.5,no,0.0,100.0,0.3475739306971935
59,5.0,10.0,0.6,no,0.0,100.0,0.26383000738104273
60,5.0,10.0,0.7,no,0.0,100.0,0.20274228304681544
61,5.0,10.0,0.8,no,0.0,100.0,0.3798628489172471
62,5.0,10.0,0.9,no,0.0,100.0,0.34348327721865496
63,5.0,100.0,0.1,no,0.0,100.0,0.4032201812015288
64,5.0,100.0,0.2,no,0.0,100.0,0.3316021109080871
65,5.0,100.0,0.3,no,0.0,100.0,0.13984312271218138
66,5.0,100.0,0.4,no,0.0,100.0,0.1072827972917559
67,5.0,100.0,0.5,no,0.0,100.0,0.10741704391420477
68,5.0,100.0,0.6,no,0.0,100.0,0.12515546146021436
69,5.0,100.0,0.7,no,0.0,100.0,0.08427071655126157
70,5.0,100.0,0.8,no,0.0,100.0,0.07912526548210227
71,5.0,100.0,0.9,no,0.0,100.0,0.07418638749860824
72,5.0,1000.0,0.1,no,0.0,100.0,0.12456555971486145
73,5.0,1000.0,0.2,no,0.0,100.0,0.04390998222242206
74,5.0,1000.0,0.3,no,0.0,100.0,0.03120576810347026
75,5.0,1000.0,0.4,no,0.0,100.0,0.03667030439853953
76,5.0,1000.0,0.5,no,0.0,100.0,0.03466568089147114
77,5.0,1000.0,0.6,no,0.0,100.0,0.031570205763264254
78,5.0,1000.0,0.7,no,0.0,100.0,0.02652731540104558
79,5.0,1000.0,0.8,no,0.0,100.0,0.02027558085553848
80,5.0,1000.0,0.9,no,0.0,100.0,0.028233314840247187
81,10.0,10.0,0.1,no,0.0,100.0,0.5495211018614378
82,10.0,10.0,0.2,no,0.0,100.0,0.34454807540656246
83,10.0,10.0,0.3,no,0.0,100.0,0.3335782657230132
84,10.0,10.0,0.4,no,0.0,100.0,0.29029521182867657
85,10.0,10.0,0.5,no,0.0,100.0,0.3542435026768395
86,10.0,10.0,0.6,no,0.0,100.0,0.21155005307700347
