,w,k,init_alpha,alpha,iters,final_dtv
0,3.0,10.0,0.1,0.9981656726708232,100.0,0.43525270428869933
1,3.0,10.0,0.2,0.19503109365963495,100.0,0.6101551698266389
2,3.0,10.0,0.3,0.05321850672866981,100.0,0.5894947766659355
3,3.0,10.0,0.4,0.39478518667710183,100.0,0.483158128996768
4,3.0,10.0,0.5,0.23035238880923145,100.0,0.4828056872053197
5,3.0,10.0,0.6,0.2949870896733432,100.0,0.3442773095568806
6,3.0,10.0,0.7,0.5782953341663302,100.0,0.2685234691360271
7,3.0,10.0,0.8,0.17461104850399037,100.0,0.49372752082935517
8,3.0,10.0,0.9,,100.0,
9,3.0,100.0,0.1,0.4098459018182121,100.0,0.23199338102475708
10,3.0,100.0,0.2,0.2829972791289995,100.0,0.11134992017137271
11,3.0,100.0,0.3,0.26129046376738996,100.0,0.17560197129878208
12,3.0,100.0,0.4,0.20491287900709124,100.0,0.5671950073518228
13,3.0,100.0,0.5,0.40596768838150427,100.0,0.12989819762848295
14,3.0,100.0,0.6,0.5315718898094609,100.0,0.2857592222026187
15,3.0,100.0,0.7,0.727878268101242,100.0,0.18462817860975153
16,3.0,100.0,0.8,0.5974891922917602,100.0,0.06978649865085598
17,3.0,100.0,0.9,0.9390955438217401,100.0,0.13431783094200214
18,3.0,1000.0,0.1,0.5834747816229952,100.0,0.1583344705460002
19,3.0,1000.0,0.2,0.24266452555737625,100.0,0.08761258157852522
20,3.0,1000.0,0.3,0.3313802892608703,100.0,0.039342960459694265
21,3.0,1000.0,0.4,0.3859767035174921,100.0,0.03400819388169907
22,3.0,1000.0,0.5,0.5065888410406046,100.0,0.027438543242470064
23,3.0,1000.0,0.6,0.5727131362428385,100.0,0.02626014645403902
24,3.0,1000.0,0.7,0.8021829745283433,100.0,0.055475403616435784
25,3.0,1000.0,0.8,0.8049453339311973,100.0,0.028761185559818436
26,3.0,1000.0,0.9,0.7896826929229009,100.0,0.08222580572129233
27,4.0,10.0,0.1,0.09442373184079858,100.0,0.7057120827028471
28,4.0,10.0,0.2,0.4788933312722962,100.0,0.4988985563089436
29,4.0,10.0,0.3,0.8,100.0,0.3429267002903741
30,4.0,10.0,0.4,0.09801099696993266,100.0,0.5527420403243701
