,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
0,3.0,10.0,0.1,no,0.0,100.0,0.4570176879710367
1,3.0,10.0,0.2,no,0.0,100.0,
2,3.0,10.0,0.3,no,0.0,100.0,
3,3.0,10.0,0.4,no,0.0,100.0,0.39300177389987284
4,3.0,10.0,0.5,no,0.0,100.0,0.44654749370133084
5,3.0,10.0,0.6,no,0.0,100.0,0.4173973352930423
6,3.0,10.0,0.7,no,0.0,100.0,0.304293515473014
7,3.0,10.0,0.8,no,0.0,100.0,0.2779584145311752
8,3.0,10.0,0.9,no,0.0,100.0,0.18889941213113273
9,3.0,100.0,0.1,no,0.0,100.0,0.30864859811260287
10,3.0,100.0,0.2,no,0.0,100.0,0.2433526613113542
11,3.0,100.0,0.3,no,0.0,100.0,0.2534363096488562
12,3.0,100.0,0.4,no,0.0,100.0,0.13561259708082712
13,3.0,100.0,0.5,no,0.0,100.0,0.11348083464914283
14,3.0,100.0,0.6,no,0.0,100.0,0.09337519620931548
15,3.0,100.0,0.7,no,0.0,100.0,0.05939340332843249
16,3.0,100.0,0.8,no,0.0,100.0,0.09233156932194744
17,3.0,100.0,0.9,no,0.0,100.0,0.10751581322647483
18,3.0,1000.0,0.1,no,0.0,100.0,0.0587673854682388
19,3.0,1000.0,0.2,no,0.0,100.0,0.047445735092382785
20,3.0,1000.0,0.3,no,0.0,100.0,0.03231780628547397
21,3.0,1000.0,0.4,no,0.0,100.0,0.07174060838342965
22,3.0,1000.0,0.5,no,0.0,100.0,0.03470535211138589
23,3.0,1000.0,0.6,no,0.0,100.0,0.041853055566065174
24,3.0,1000.0,0.7,no,0.0,100.0,0.02619079532262477
25,3.0,1000.0,0.8,no,0.0,100.0,0.025968784458116866
26,3.0,1000.0,0.9,no,0.0,100.0,0.039865860997892404
27,4.0,10.0,0.1,no,0.0,100.0,0.3620491862120064
28,4.0,10.0,0.2,no,0.0,100.0,0.5247427963896841
29,4.0,10.0,0.3,no,0.0,100.0,0.5601832571199665
30,4.0,10.0,0.4,no,0.0,100.0,0.4808135481140187
31,4.0,10.0,0.5,no,0.0,100.0,0.4334456903553014
32,4.0,10.0,0.6,no,0.0,100.0,0.32092787013616053
33,4.0,10.0,0.7,no,0.0,100.0,0.2586188669092575
34,4.0,10.0,0.8,no,0.0,100.0,0.4569157375237184
35,4.0,10.0,0.9,no,0.0,100.0,0.30909356626367884
36,4.0,100.0,0.1,no,0.0,100.0,0.3979563318463673
37,4.0,100.0,0.2,no,0.0,100.0,0.23484555101979304
38,4.0,100.0,0.3,no,0.0,100.0,0.172186155212304
39,4.0,100.0,0.4,no,0.0,100.0,0.13138744659988874
40,4.0,100.0,0.5,no,0.0,100.0,0.24502475372794735
41,4.0,100.0,0.6,no,0.0,100.0,0.08433136112382031
42,4.0,100.0,0.7,no,0.0,100.0,0.05409875940749278
43,4.0,100.0,0.8,no,0.0,100.0,0.16619994180396153
44,4.0,100.0,0.9,no,0.0,100.0,0.11660817592647887
45,4.0,1000.0,0.1,no,0.0,100.0,0.10692927477099652
46,4.0,1000.0,0.2,no,0.0,100.0,0.059633209160544084
47,4.0,1000.0,0.3,no,0.0,100.0,0.046445672989237984
48,4.0,1000.0,0.4,no,0.0,100.0,0.037269029407533516
49,4.0,1000.0,0.5,no,0.0,100.0,0.025747472544001053
50,4.0,1000.0,0.6,no,0.0,100.0,0.022951705319779192
51,4.0,1000.0,0.7,no,0.0,100.0,0.030022173062124187
52,4.0,1000.0,0.8,no,0.0,100.0,0.02352220711774551
53,4.0,1000.0,0.9,no,0.0,100.0,0.027950836778176114
54,5.0,10.0,0.1,no,0.0,100.0,0.6001489371559239
55,5.0,10.0,0.2,no,0.0,100.0,0.5142293733155138
56,5.0,10.0,0.3,no,0.0,100.0,0.5568916662695004
57,5.0,10.0,0.4,no,0.0,100.0,0.3584192611521549
58,5.0,10.0,0.5,no,0.0,100.0,0.41872271913815434
59,5.0,10.0,0.6,no,0.0,100.0,0.4318915778465622
60,5.0,10.0,0.7,no,0.0,100.0,0.4162685372184089
61,5.0,10.0,0.8,no,0.0,100.0,0.2448272795792473
62,5.0,10.0,0.9,no,0.0,100.0,0.3340206507072297
63,5.0,100.0,0.1,no,0.0,100.0,0.20852273719790637
64,5.0,100.0,0.2,no,0.0,100.0,0.1905813244549938
65,5.0,100.0,0.3,no,0.0,100.0,0.10558118190533612
66,5.0,100.0,0.4,no,0.0,100.0,0.0940917378034369
67,5.0,100.0,0.5,no,0.0,100.0,0.11150553792419864
68,5.0,100.0,0.6,no,0.0,100.0,0.0723074334481437
69,5.0,100.0,0.7,no,0.0,100.0,0.05476862279685907
70,5.0,100.0,0.8,no,0.0,100.0,0.05695933543241823
71,5.0,100.0,0.9,no,0.0,100.0,0.1496526276739594
72,5.0,1000.0,0.1,no,0.0,100.0,0.05769127141119029
73,5.0,1000.0,0.2,no,0.0,100.0,0.05901018316568366
74,5.0,1000.0,0.3,no,0.0,100.0,0.0396777323091491
75,5.0,1000.0,0.4,no,0.0,100.0,0.03820537683704308
76,5.0,1000.0,0.5,no,0.0,100.0,0.03829349262252393
77,5.0,1000.0,0.6,no,0.0,100.0,0.032174837274642605
78,5.0,1000.0,0.7,no,0.0,100.0,0.02671769504653827
79,5.0,1000.0,0.8,no,0.0,100.0,0.026181026272498353
80,5.0,1000.0,0.9,no,0.0,100.0,0.015450459458001902
81,10.0,10.0,0.1,no,0.0,100.0,0.6251615271122323
82,10.0,10.0,0.2,no,0.0,100.0,0.27841897015935446
83,10.0,10.0,0.3,no,0.0,100.0,0.39516038557824323
84,10.0,10.0,0.4,no,0.0,100.0,0.5031230511010762
85,10.0,10.0,0.5,no,0.0,100.0,0.5000368832057686
86,10.0,10.0,0.6,no,0.0,100.0,0.3284693081693018
87,10.0,10.0,0.7,no,0.0,100.0,0.2957059300865712
88,10.0,10.0,0.8,no,0.0,100.0,0.33965162798229387
89,10.0,10.0,0.9,no,0.0,100.0,0.2989862276965607
90,10.0,100.0,0.1,no,0.0,100.0,0.43640078802512755
91,10.0,100.0,0.2,no,0.0,100.0,0.1914469813041163
92,10.0,100.0,0.3,no,0.0,100.0,0.10161720887348595
93,10.0,100.0,0.4,no,0.0,100.0,0.1154478560775524
94,10.0,100.0,0.5,no,0.0,100.0,0.09187114286499072
95,10.0,100.0,0.6,no,0.0,100.0,0.08383660149352698
96,10.0,100.0,0.7,no,0.0,100.0,0.0671933577147157
