,w,k,init_alpha,alpha,iters,final_dtv
0,6,2000,0.1,no,100,0.049205065064185004
1,6,2000,0.1,no,100,0.0504463968548759
2,6,2000,0.1,no,100,0.07269668875990987
3,6,2000,0.1,no,100,0.06848212502822461
4,6,2000,0.1,no,100,0.08030664396953081
5,6,2000,0.1,no,100,0.05636690631492409
6,6,2000,0.1,no,100,0.059266833289356516
7,6,2000,0.1,no,100,0.05121346631864309
8,6,2000,0.1,no,100,0.08273822258857201
9,6,2000,0.1,no,100,0.04308021539731656
10,6,2000,0.1,no,100,0.05016203709755585
11,6,2000,0.1,no,100,0.0525571082980821
12,6,2000,0.1,no,100,0.10437263446163995
13,6,2000,0.1,no,100,0.05020129873918007
14,6,2000,0.1,no,100,0.03649906268919948
15,6,2000,0.1,no,100,0.04318273615378972
16,6,2000,0.1,no,100,0.08511037659131927
17,6,2000,0.1,no,100,0.07671167670582153
18,6,2000,0.1,no,100,0.05193135794253368
19,6,2000,0.1,no,100,0.054823869235646916
20,6,2000,0.1,no,100,0.06649192762626686
21,6,2000,0.1,no,100,0.1440581815197728
22,6,2000,0.1,no,100,0.052663038347700024
23,6,2000,0.1,no,100,0.04542848764327885
24,6,2000,0.1,no,100,0.1427975359351719
25,6,2000,0.1,no,100,0.06819298156789158
26,6,2000,0.1,no,100,0.07759606569199048
27,6,2000,0.1,no,100,0.08160670261738638
28,6,2000,0.1,no,100,0.06301067859917565
29,6,2000,0.1,no,100,0.05646299863395172
